epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6756,0.75923,1.31103,1.2733,1.12323,0.48088,0.68684,0.46759,0.28488,0.48088,0.68684,0.46952,0.29373,0.92489,1.27762,54.1895,1.43623,0.000664122,0.000664122,0.000664122
2,103.601,0.79975,1.21907,0.76223,1.12431,0.60652,0.82105,0.59485,0.42229,0.60861,0.82368,0.59335,0.40852,0.87463,0.8977,41.9239,1.38998,0.00131761,0.00131761,0.00131761
3,150.643,0.80153,1.20457,0.65371,1.12081,0.41826,0.79844,0.41689,0.28904,0.41826,0.79844,0.42065,0.3011,0.7682,1.1358,82.7764,1.30465,0.00195791,0.00195791,0.00195791
4,199.178,0.7704,1.14495,0.60058,1.10679,0.5889,0.82933,0.56538,0.43724,0.59076,0.83196,0.57136,0.43335,0.62867,1.06373,51.4316,1.12384,0.0019406,0.0019406,0.0019406
5,245.215,0.72503,1.11396,0.54067,1.07641,0.59176,0.82632,0.56147,0.43434,0.59051,0.82729,0.56088,0.42729,0.63558,0.77707,48.9515,1.1209,0.0019208,0.0019208,0.0019208
6,290.84,0.68875,1.05198,0.50291,1.06296,0.59403,0.81634,0.5656,0.44863,0.59403,0.81634,0.5656,0.43841,0.56973,0.97942,48.7884,1.05139,0.001901,0.001901,0.001901
7,336.399,0.66413,1.00202,0.47726,1.05609,0.61623,0.91579,0.60234,0.47309,0.61623,0.91579,0.6024,0.47808,0.57812,0.95965,59.2933,1.05499,0.0018812,0.0018812,0.0018812
8,381.96,0.66965,0.991,0.47493,1.04337,0.59767,0.88421,0.57776,0.46628,0.59767,0.88421,0.57776,0.46261,0.53405,0.75633,57.7647,0.9991,0.0018614,0.0018614,0.0018614
9,427.621,0.62955,0.93954,0.44373,1.02413,0.61116,0.89737,0.62535,0.50133,0.61116,0.89737,0.62497,0.49152,0.57227,0.77645,55.3104,1.02803,0.0018416,0.0018416,0.0018416
10,473.416,0.6305,0.94942,0.4378,1.02566,0.63665,0.9,0.6248,0.50924,0.63665,0.9,0.6248,0.50832,0.54015,0.79542,68.2902,1.05123,0.0018218,0.0018218,0.0018218
11,519.145,0.61273,0.91695,0.42167,1.02162,0.64933,0.89659,0.63583,0.53852,0.64933,0.89659,0.63427,0.53218,0.49798,0.78129,59.4623,0.96738,0.001802,0.001802,0.001802
12,564.556,0.61404,0.921,0.42369,1.02024,0.5865,0.89211,0.5818,0.48758,0.58304,0.88684,0.57901,0.47755,0.4896,0.74606,73.0172,0.97338,0.0017822,0.0017822,0.0017822
13,609.946,0.59637,0.88844,0.40602,1.00804,0.63798,0.92289,0.65361,0.55283,0.63798,0.92289,0.65361,0.54984,0.4987,0.71438,60.9892,0.97483,0.0017624,0.0017624,0.0017624
14,655.523,0.58716,0.8712,0.39755,1.00734,0.65642,0.88487,0.64594,0.55048,0.62487,0.93421,0.64357,0.53922,0.47949,0.78708,63.9073,0.94933,0.0017426,0.0017426,0.0017426
