epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5044,0.73994,1.38849,1.36745,1.10191,0.82846,0.77917,0.86503,0.66152,0.8343,0.76925,0.85548,0.65228,0.79705,1.6292,1.3758,1.28294,0.000663024,0.000663024,0.000663024
2,77.3591,0.77103,1.27955,0.84848,1.10595,0.62607,0.72917,0.69263,0.48561,0.60755,0.70417,0.65589,0.44498,0.91786,2.35525,1.9865,1.30855,0.00131653,0.00131653,0.00131653
3,112.148,0.80064,1.26979,0.76912,1.1191,0.62267,0.76667,0.73543,0.55188,0.62718,0.77222,0.74744,0.56327,0.84451,1.30463,1.7977,1.25623,0.00195683,0.00195683,0.00195683
4,146.485,0.76193,1.2198,0.67452,1.093,0.88638,0.82222,0.88513,0.72602,0.89375,0.81784,0.88405,0.75409,0.7296,1.0527,0.75776,1.14233,0.0019406,0.0019406,0.0019406
5,180.878,0.71681,1.16492,0.62338,1.06209,0.87175,0.76944,0.88829,0.73449,0.8686,0.76667,0.8852,0.7208,0.70126,1.37472,0.76209,1.12849,0.0019208,0.0019208,0.0019208
6,215.192,0.69183,1.08946,0.57076,1.04165,0.90537,0.83711,0.91802,0.78983,0.91137,0.84267,0.92504,0.79982,0.62957,0.8245,0.69869,1.06008,0.001901,0.001901,0.001901
7,249.524,0.66705,1.07234,0.54266,1.03338,0.84347,0.80831,0.89654,0.75342,0.83915,0.81151,0.89637,0.74859,0.65837,0.95302,0.75168,1.1045,0.0018812,0.0018812,0.0018812
8,283.871,0.64772,1.01857,0.52914,1.02725,0.89439,0.85833,0.91242,0.76033,0.90666,0.85972,0.91515,0.77427,0.71206,1.07154,0.80494,1.10611,0.0018614,0.0018614,0.0018614
9,318.377,0.64036,0.97118,0.50121,1.01703,0.94089,0.86222,0.92527,0.81739,0.937,0.86111,0.92259,0.79862,0.55492,0.92935,0.60652,1.03392,0.0018416,0.0018416,0.0018416
10,352.882,0.62747,0.98994,0.4912,1.01033,0.91721,0.85972,0.92681,0.81526,0.91721,0.85972,0.92517,0.8192,0.54588,0.92151,0.53616,1.02894,0.0018218,0.0018218,0.0018218
11,387.471,0.59282,0.92691,0.46767,0.99671,0.90644,0.87468,0.93387,0.84043,0.90644,0.87468,0.9293,0.85283,0.50531,0.74928,0.50748,0.97942,0.001802,0.001802,0.001802
12,421.992,0.59174,0.9261,0.45716,0.98912,0.91175,0.861,0.93409,0.84968,0.92085,0.85694,0.93893,0.84756,0.47652,0.7031,0.54892,0.96753,0.0017822,0.0017822,0.0017822
13,456.535,0.59285,0.88513,0.45074,0.98715,0.92972,0.90023,0.95236,0.88091,0.92972,0.90023,0.95335,0.87968,0.44472,0.70576,0.4592,0.92465,0.0017624,0.0017624,0.0017624
14,490.997,0.56652,0.86718,0.43192,0.97678,0.93661,0.89028,0.93721,0.85465,0.93459,0.88889,0.93651,0.85605,0.48544,0.71199,0.49404,0.97289,0.0017426,0.0017426,0.0017426
15,525.429,0.55925,0.84398,0.42311,0.97615,0.96919,0.86111,0.94182,0.85743,0.97021,0.85941,0.94286,0.87069,0.46074,0.65957,0.45471,0.95281,0.0017228,0.0017228,0.0017228
16,559.77,0.55609,0.8624,0.42409,0.97426,0.94444,0.89716,0.94793,0.88587,0.94736,0.89993,0.94866,0.88644,0.41871,0.62749,0.4329,0.9207,0.001703,0.001703,0.001703
17,594.357,0.5636,0.87178,0.42089,0.97186,0.96835,0.89228,0.94812,0.86553,0.96835,0.89228,0.94676,0.8833,0.46263,0.60947,0.4726,0.94734,0.0016832,0.0016832,0.0016832
18,628.91,0.53691,0.80305,0.3961,0.96121,0.92531,0.85694,0.93911,0.8617,0.92242,0.85873,0.93639,0.86655,0.45146,0.64435,0.48054,0.93589,0.0016634,0.0016634,0.0016634
19,663.452,0.53989,0.81962,0.40491,0.96458,0.94738,0.87527,0.95896,0.87834,0.94891,0.87699,0.9636,0.89199,0.43805,0.61245,0.44401,0.93315,0.0016436,0.0016436,0.0016436
20,697.894,0.53025,0.79629,0.39772,0.95791,0.97232,0.87083,0.94041,0.86562,0.97232,0.87083,0.9374,0.87456,0.44236,0.64654,0.43261,0.94433,0.0016238,0.0016238,0.0016238
21,732.428,0.52832,0.78852,0.39615,0.96133,0.97024,0.9,0.95619,0.8936,0.97024,0.9,0.95672,0.89885,0.4077,0.64086,0.41635,0.90468,0.001604,0.001604,0.001604
22,766.894,0.51412,0.76686,0.37629,0.95097,0.96164,0.90514,0.96166,0.89834,0.96016,0.90376,0.96258,0.90615,0.37945,0.55419,0.38871,0.87933,0.0015842,0.0015842,0.0015842
23,801.358,0.50429,0.75863,0.37187,0.94873,0.9174,0.89469,0.94414,0.87985,0.9174,0.89469,0.94455,0.88692,0.44436,0.5797,0.45159,0.93322,0.0015644,0.0015644,0.0015644
24,835.756,0.51364,0.78142,0.37674,0.94957,0.96746,0.89028,0.95179,0.89543,0.96746,0.89028,0.95244,0.90532,0.39739,0.59943,0.39563,0.90056,0.0015446,0.0015446,0.0015446
25,870.108,0.50911,0.74667,0.37236,0.94802,0.95744,0.90614,0.94831,0.88292,0.95741,0.90833,0.95184,0.89567,0.42879,0.58467,0.45386,0.91887,0.0015248,0.0015248,0.0015248
26,904.964,0.4954,0.74624,0.36155,0.94641,0.94007,0.8715,0.94134,0.8784,0.94959,0.86341,0.94447,0.88846,0.42254,0.6616,0.44304,0.91792,0.001505,0.001505,0.001505
27,939.602,0.50347,0.74004,0.36727,0.94872,0.95593,0.90694,0.97181,0.91126,0.95593,0.90694,0.97177,0.91587,0.38242,0.57164,0.33872,0.88395,0.0014852,0.0014852,0.0014852
28,973.894,0.48562,0.72657,0.35188,0.94008,0.97445,0.89028,0.95203,0.89486,0.97597,0.89167,0.95514,0.89823,0.37766,0.66172,0.37434,0.88983,0.0014654,0.0014654,0.0014654
29,1008.19,0.48372,0.72368,0.34888,0.93968,0.95312,0.91806,0.95064,0.90151,0.95312,0.91806,0.95096,0.89901,0.38457,0.81314,0.38582,0.8954,0.0014456,0.0014456,0.0014456
30,1042.57,0.4868,0.72718,0.34572,0.939,0.98312,0.8899,0.95651,0.8975,0.98312,0.8899,0.95632,0.90724,0.38221,0.59776,0.40272,0.90157,0.0014258,0.0014258,0.0014258
31,1077.02,0.48321,0.70395,0.34268,0.94036,0.95218,0.89722,0.95383,0.89511,0.95218,0.89722,0.95316,0.89821,0.39225,0.65655,0.39079,0.89726,0.001406,0.001406,0.001406
32,1111.33,0.47737,0.6911,0.3445,0.93657,0.96331,0.91175,0.9545,0.90205,0.96331,0.91175,0.9556,0.90698,0.38002,0.55395,0.35975,0.88992,0.0013862,0.0013862,0.0013862
33,1145.58,0.46399,0.68935,0.33306,0.92589,0.95115,0.89239,0.96043,0.90384,0.95115,0.89239,0.96035,0.90376,0.38685,0.56855,0.39171,0.88645,0.0013664,0.0013664,0.0013664
34,1179.99,0.47233,0.6988,0.33589,0.92869,0.95653,0.91675,0.96805,0.92142,0.95653,0.91675,0.96786,0.91817,0.34511,0.55696,0.33924,0.84807,0.0013466,0.0013466,0.0013466
35,1214.37,0.46613,0.68972,0.33033,0.92906,0.95693,0.89482,0.94927,0.90239,0.96139,0.89923,0.95364,0.8989,0.37077,0.63819,0.37225,0.88965,0.0013268,0.0013268,0.0013268
36,1248.76,0.46209,0.68473,0.33149,0.927,0.93478,0.89581,0.94755,0.89161,0.93614,0.8959,0.94838,0.89304,0.38181,0.63125,0.40646,0.89296,0.001307,0.001307,0.001307
37,1283.1,0.46003,0.66106,0.32583,0.92512,0.94577,0.89306,0.95605,0.90554,0.94724,0.89444,0.95603,0.90413,0.3807,0.60338,0.42613,0.88902,0.0012872,0.0012872,0.0012872
38,1317.55,0.45493,0.67331,0.32134,0.9274,0.97879,0.89742,0.95627,0.90541,0.97879,0.89742,0.95307,0.90626,0.37246,0.58699,0.34573,0.88986,0.0012674,0.0012674,0.0012674
39,1351.9,0.44591,0.65284,0.3162,0.91963,0.93043,0.91667,0.95513,0.89587,0.93043,0.91667,0.95229,0.90914,0.37657,0.56518,0.39552,0.89428,0.0012476,0.0012476,0.0012476
40,1386.24,0.45298,0.65682,0.31625,0.92424,0.95962,0.89583,0.95541,0.91391,0.95962,0.89583,0.95646,0.91374,0.33953,0.60052,0.35366,0.86307,0.0012278,0.0012278,0.0012278
41,1420.59,0.44315,0.65484,0.3125,0.91727,0.96172,0.92778,0.96053,0.91666,0.96172,0.92778,0.96092,0.91182,0.34625,0.58778,0.31896,0.87377,0.001208,0.001208,0.001208
42,1454.92,0.44016,0.63013,0.31101,0.91875,0.95662,0.90417,0.95313,0.90298,0.95662,0.90417,0.95053,0.90614,0.36791,0.58069,0.34515,0.88207,0.0011882,0.0011882,0.0011882
43,1489.25,0.44131,0.64141,0.30699,0.92146,0.9354,0.91944,0.95565,0.91231,0.9354,0.91944,0.9561,0.91329,0.35212,0.58905,0.37163,0.86823,0.0011684,0.0011684,0.0011684
44,1523.61,0.43159,0.62424,0.30208,0.91821,0.94086,0.92917,0.96077,0.92271,0.94086,0.92917,0.96216,0.92038,0.33237,0.54544,0.33762,0.85215,0.0011486,0.0011486,0.0011486
45,1557.98,0.42814,0.63344,0.29831,0.91419,0.96044,0.92083,0.97381,0.92009,0.96044,0.92083,0.97327,0.92208,0.35451,0.5644,0.33121,0.86072,0.0011288,0.0011288,0.0011288
46,1592.27,0.42155,0.62146,0.29834,0.91283,0.97179,0.9125,0.96257,0.92649,0.97179,0.9125,0.96202,0.92661,0.31396,0.53186,0.31651,0.8366,0.001109,0.001109,0.001109
47,1626.59,0.42637,0.62502,0.29731,0.91504,0.98045,0.9,0.96805,0.92473,0.98045,0.9,0.96805,0.92169,0.33267,0.55049,0.3046,0.85654,0.0010892,0.0010892,0.0010892
48,1660.84,0.424,0.61956,0.29496,0.91133,0.96032,0.90753,0.96435,0.9265,0.96032,0.90753,0.96353,0.92473,0.3309,0.53486,0.32733,0.85526,0.0010694,0.0010694,0.0010694
49,1695.27,0.41601,0.60304,0.28993,0.91157,0.96444,0.90399,0.96179,0.90223,0.96444,0.90399,0.96313,0.9146,0.38063,0.57348,0.35783,0.88631,0.0010496,0.0010496,0.0010496
50,1729.71,0.41593,0.59472,0.28844,0.9106,0.96108,0.91944,0.9681,0.92703,0.96108,0.91944,0.96866,0.92565,0.3261,0.5313,0.30909,0.84479,0.0010298,0.0010298,0.0010298
51,1764.12,0.41823,0.60452,0.29193,0.91265,0.95528,0.91806,0.96808,0.91981,0.95528,0.91806,0.96742,0.92219,0.349,0.5462,0.31434,0.86709,0.00101,0.00101,0.00101
52,1798.4,0.41235,0.60086,0.28568,0.9098,0.9691,0.91477,0.95515,0.91504,0.9691,0.91477,0.95491,0.91562,0.33481,0.57031,0.32238,0.87606,0.0009902,0.0009902,0.0009902
53,1832.66,0.41358,0.59097,0.28698,0.91082,0.9494,0.91944,0.9509,0.91724,0.9494,0.91944,0.95093,0.91398,0.34333,0.5901,0.34489,0.87634,0.0009704,0.0009704,0.0009704
54,1866.93,0.40696,0.57347,0.2806,0.9097,0.95932,0.91706,0.96111,0.91751,0.95932,0.91706,0.96034,0.91479,0.34514,0.54945,0.32783,0.87192,0.0009506,0.0009506,0.0009506
55,1901.22,0.4155,0.59658,0.2868,0.90839,0.96307,0.91111,0.95579,0.91367,0.96619,0.91389,0.95624,0.91323,0.32448,0.56671,0.34312,0.84901,0.0009308,0.0009308,0.0009308
56,1935.48,0.40458,0.58138,0.28189,0.90663,0.96969,0.90972,0.96022,0.92045,0.96969,0.90972,0.96046,0.91955,0.33633,0.55049,0.34659,0.86362,0.000911,0.000911,0.000911
57,1969.88,0.40481,0.59436,0.28006,0.90797,0.9688,0.91111,0.95586,0.917,0.9688,0.91111,0.95766,0.92031,0.32775,0.54278,0.33072,0.85283,0.0008912,0.0008912,0.0008912
58,2004.22,0.40364,0.57757,0.27879,0.90627,0.96139,0.8992,0.95112,0.9146,0.96101,0.90139,0.95106,0.91588,0.3218,0.54991,0.36262,0.8422,0.0008714,0.0008714,0.0008714
59,2038.37,0.39104,0.56428,0.27206,0.90067,0.97233,0.92732,0.96755,0.93185,0.97233,0.92732,0.97031,0.92993,0.31487,0.54146,0.29419,0.84144,0.0008516,0.0008516,0.0008516
