epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.334,0.73956,1.49716,1.48991,1.10896,0.36997,0.32764,0.26829,0.14086,0.37867,0.31909,0.257,0.1418,1.48971,3.24325,2.77637,1.84334,0.000659864,0.000659864,0.000659864
2,77.2559,0.74828,1.213,0.81719,1.08628,0.31915,0.48291,0.27456,0.15037,0.32256,0.44017,0.23993,0.13759,1.56676,3.14842,3.24295,1.98073,0.0013134,0.0013134,0.0013134
3,110.182,0.72866,1.15543,0.68364,1.07543,0.696,0.67806,0.72313,0.49842,0.68461,0.69231,0.71796,0.48891,1.10638,3.12187,1.21192,1.60973,0.00195373,0.00195373,0.00195373
4,142.89,0.73376,1.22711,0.64528,1.07636,0.81083,0.67949,0.77118,0.56934,0.8082,0.67379,0.75924,0.55557,0.92476,1.75717,1.52997,1.42389,0.0019406,0.0019406,0.0019406
5,175.836,0.70353,1.12257,0.59009,1.05685,0.8281,0.79772,0.85855,0.66706,0.82741,0.79915,0.85655,0.70416,0.85003,1.17312,0.93258,1.36648,0.0019208,0.0019208,0.0019208
6,208.372,0.67202,1.0534,0.53921,1.03404,0.88955,0.80342,0.89036,0.728,0.88482,0.79915,0.8892,0.73349,0.75382,1.1919,0.82427,1.20444,0.001901,0.001901,0.001901
7,241.215,0.6452,1.01373,0.51885,1.02144,0.88636,0.85185,0.91668,0.79153,0.88758,0.86182,0.92863,0.80256,0.6186,0.99314,0.79645,1.08299,0.0018812,0.0018812,0.0018812
8,273.878,0.61853,0.98525,0.49437,1.00693,0.95643,0.87563,0.92732,0.78899,0.95799,0.87705,0.92592,0.80837,0.65982,1.10104,0.67027,1.12975,0.0018614,0.0018614,0.0018614
9,306.557,0.59263,0.91958,0.46175,0.99728,0.87982,0.84472,0.91371,0.83321,0.88602,0.85261,0.92063,0.83711,0.48497,0.73241,0.63402,0.98942,0.0018416,0.0018416,0.0018416
10,339.346,0.59042,0.9121,0.45834,0.99164,0.88533,0.82621,0.90538,0.79473,0.88533,0.82621,0.90366,0.80478,0.55474,0.92253,0.61354,1.02751,0.0018218,0.0018218,0.0018218
11,372.168,0.57584,0.89503,0.43434,0.98039,0.91564,0.92165,0.94948,0.85549,0.91564,0.92165,0.95223,0.86235,0.46946,0.7121,0.56233,0.96514,0.001802,0.001802,0.001802
12,405.005,0.5597,0.85763,0.42475,0.97052,0.90802,0.89999,0.93767,0.85444,0.90679,0.90078,0.93911,0.86549,0.46718,0.71387,0.50649,0.97808,0.0017822,0.0017822,0.0017822
13,437.611,0.55796,0.86364,0.41891,0.97253,0.93792,0.88239,0.94321,0.85932,0.94,0.87892,0.93956,0.84402,0.49197,0.77796,0.54855,0.98905,0.0017624,0.0017624,0.0017624
14,470.615,0.54273,0.82528,0.40978,0.97231,0.93623,0.90741,0.94144,0.87255,0.93217,0.91168,0.94067,0.86485,0.44032,0.83754,0.45486,0.96148,0.0017426,0.0017426,0.0017426
15,503.285,0.54305,0.84401,0.40816,0.97081,0.89441,0.8547,0.93192,0.86,0.89441,0.8547,0.92988,0.8467,0.43368,0.82689,0.73208,0.94222,0.0017228,0.0017228,0.0017228
16,536.107,0.52443,0.79987,0.3906,0.95799,0.91087,0.85613,0.92293,0.84392,0.91285,0.85613,0.92163,0.84999,0.52277,0.89013,0.66029,1.02288,0.001703,0.001703,0.001703
17,569.009,0.51823,0.79355,0.38427,0.9552,0.77898,0.7151,0.79659,0.70172,0.78069,0.7208,0.79705,0.70328,0.5691,0.80129,0.91356,1.03574,0.0016832,0.0016832,0.0016832
18,601.778,0.51844,0.7898,0.38044,0.95629,0.93782,0.88085,0.9425,0.85068,0.93763,0.87807,0.94273,0.85644,0.50043,0.77409,0.70181,0.97124,0.0016634,0.0016634,0.0016634
19,634.771,0.51596,0.78743,0.3755,0.9537,0.94033,0.90171,0.94593,0.87778,0.94033,0.90171,0.94572,0.87989,0.4172,0.81126,0.48094,0.95069,0.0016436,0.0016436,0.0016436
20,667.437,0.49936,0.75813,0.365,0.94688,0.94096,0.81624,0.9219,0.83519,0.94262,0.81907,0.92489,0.83617,0.50125,0.63285,0.57116,0.98644,0.0016238,0.0016238,0.0016238
21,700.399,0.5097,0.77182,0.37435,0.94989,0.91953,0.81197,0.89318,0.82901,0.91953,0.81197,0.89403,0.82342,0.49204,0.72154,0.54621,0.96831,0.001604,0.001604,0.001604
22,733.003,0.49572,0.74675,0.35893,0.94564,0.95749,0.89842,0.94091,0.8738,0.95749,0.89842,0.9395,0.86757,0.42075,0.70788,0.45005,0.926,0.0015842,0.0015842,0.0015842
23,765.653,0.49806,0.73086,0.35597,0.94067,0.96931,0.86752,0.93457,0.84213,0.96931,0.86752,0.93538,0.87128,0.47453,0.69411,0.53829,0.97549,0.0015644,0.0015644,0.0015644
24,798.524,0.48776,0.73409,0.35274,0.94182,0.9591,0.86844,0.9285,0.87356,0.9591,0.86844,0.92887,0.86855,0.41503,0.6632,0.46323,0.92892,0.0015446,0.0015446,0.0015446
25,831.039,0.48774,0.72959,0.34853,0.94002,0.96285,0.88177,0.94465,0.88331,0.96441,0.88319,0.94558,0.88341,0.38954,0.7108,0.38833,0.91395,0.0015248,0.0015248,0.0015248
26,863.939,0.47496,0.71847,0.34158,0.93544,0.95533,0.88346,0.93019,0.85849,0.95533,0.88346,0.93002,0.86345,0.43728,0.61225,0.46321,0.95742,0.001505,0.001505,0.001505
27,896.408,0.47074,0.71214,0.3408,0.93376,0.96182,0.87179,0.95279,0.89597,0.96182,0.87179,0.96051,0.8968,0.39252,0.62265,0.37312,0.90591,0.0014852,0.0014852,0.0014852
28,929.079,0.47179,0.70331,0.33601,0.93467,0.98075,0.90741,0.94418,0.88797,0.98075,0.90741,0.94366,0.89745,0.38118,0.55644,0.39011,0.89481,0.0014654,0.0014654,0.0014654
29,961.727,0.46831,0.70635,0.3373,0.93445,0.97518,0.89554,0.94289,0.89065,0.97518,0.89554,0.94237,0.8928,0.37599,0.71196,0.39812,0.89581,0.0014456,0.0014456,0.0014456
30,994.338,0.45997,0.67344,0.32714,0.92718,0.98131,0.89746,0.95838,0.89755,0.98131,0.89746,0.95838,0.90115,0.38848,0.58016,0.36122,0.90327,0.0014258,0.0014258,0.0014258
31,1027.14,0.4516,0.68027,0.31988,0.92713,0.95452,0.90171,0.95595,0.89188,0.95611,0.89984,0.9498,0.88949,0.38586,0.70606,0.42098,0.90918,0.001406,0.001406,0.001406
32,1059.61,0.44927,0.67088,0.31765,0.92497,0.93468,0.86325,0.93429,0.87308,0.93468,0.86325,0.93429,0.8713,0.42242,0.62107,0.46428,0.92829,0.0013862,0.0013862,0.0013862
33,1092.44,0.46247,0.67941,0.32661,0.92928,0.94518,0.9245,0.94383,0.89537,0.94518,0.9245,0.94747,0.89967,0.4116,0.61346,0.42615,0.93135,0.0013664,0.0013664,0.0013664
34,1125.03,0.44458,0.65659,0.31764,0.92147,0.96773,0.89696,0.93378,0.88907,0.96773,0.89696,0.93363,0.89269,0.38966,0.59398,0.43256,0.92989,0.0013466,0.0013466,0.0013466
35,1157.7,0.44445,0.65257,0.31396,0.92215,0.95952,0.88177,0.93155,0.88152,0.95952,0.88177,0.93173,0.8882,0.38675,0.58767,0.45082,0.90874,0.0013268,0.0013268,0.0013268
36,1190.49,0.44314,0.65985,0.30942,0.92004,0.96993,0.88889,0.92662,0.88439,0.96993,0.88889,0.92662,0.8794,0.39218,0.63267,0.45529,0.91216,0.001307,0.001307,0.001307
37,1223.16,0.43964,0.63739,0.30578,0.91514,0.96582,0.88548,0.9395,0.89454,0.96582,0.88548,0.94061,0.89975,0.36342,0.68523,0.4085,0.8804,0.0012872,0.0012872,0.0012872
38,1255.93,0.42913,0.62326,0.30294,0.91551,0.9521,0.87779,0.9392,0.90667,0.9521,0.87779,0.9392,0.90377,0.34568,0.64552,0.4294,0.87428,0.0012674,0.0012674,0.0012674
