epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.11967,1.2776,2.469,2.57144,0.00384,1,0.68498,0.42319,0.57752,2.82215,2.25758,0.00056,0.00056,0.00056
2,15.5263,1.01428,1.47955,2.25269,0.88104,0.48726,0.82434,0.54997,0.9117,2.5863,2.45572,0.00112871,0.00112871,0.00112871
3,21.8233,0.95427,1.07899,2.11438,0.90427,0.87007,0.92424,0.66975,0.80208,1.59686,2.59341,0.00168594,0.00168594,0.00168594
4,27.1603,0.91298,0.9356,2.09054,0.93148,0.88158,0.91713,0.60671,1.04381,1.38388,2.77425,0.0019406,0.0019406,0.0019406
5,32.1273,0.88243,0.85873,2.00064,0.77496,0.88158,0.92283,0.72972,0.64894,0.95845,2.18728,0.0019208,0.0019208,0.0019208
6,37.0463,0.89242,0.82664,2.06539,0.91884,0.74488,0.89186,0.70443,0.75109,1.02198,2.21239,0.001901,0.001901,0.001901
7,42.0163,0.86206,0.76038,2.03225,0.82657,0.76316,0.86474,0.66504,0.79265,1.0634,2.38395,0.0018812,0.0018812,0.0018812
8,46.9433,0.86218,0.72153,2.0709,0.91146,0.85526,0.94592,0.77499,0.63717,0.77954,2.20588,0.0018614,0.0018614,0.0018614
9,51.5173,0.82353,0.66109,1.96639,0.8216,0.86842,0.9374,0.75802,0.62212,0.87115,2.163,0.0018416,0.0018416,0.0018416
10,56.2073,0.83637,0.67942,2.00316,0.87318,0.72478,0.87829,0.71774,0.69508,0.83376,2.17458,0.0018218,0.0018218,0.0018218
11,61.1033,0.78965,0.62696,1.90074,0.96728,0.89474,0.9288,0.78821,0.62673,0.66477,2.06814,0.001802,0.001802,0.001802
12,65.8793,0.77545,0.59816,1.97942,0.9051,0.89474,0.95098,0.80087,0.57936,0.84501,2.06391,0.0017822,0.0017822,0.0017822
13,70.3433,0.79738,0.62105,1.9637,0.94188,0.89474,0.95395,0.81354,0.56038,0.61439,2.19452,0.0017624,0.0017624,0.0017624
14,74.9093,0.81162,0.61166,2.01869,0.97942,0.90789,0.94045,0.81239,0.53835,0.58842,2.08543,0.0017426,0.0017426,0.0017426
15,79.6323,0.74924,0.56347,1.90518,0.95172,0.89474,0.94661,0.80751,0.56381,0.54149,2.10653,0.0017228,0.0017228,0.0017228
16,84.1453,0.76063,0.55615,1.92043,0.97922,0.92105,0.97444,0.82904,0.55346,0.51789,2.03461,0.001703,0.001703,0.001703
17,88.5383,0.74358,0.54572,1.93655,0.95151,0.92105,0.97172,0.82418,0.51955,0.44269,2.11398,0.0016832,0.0016832,0.0016832
18,92.9033,0.74302,0.53107,1.9104,0.97277,0.92105,0.96754,0.84838,0.5168,0.44295,1.98543,0.0016634,0.0016634,0.0016634
19,97.2833,0.71635,0.52081,1.90357,0.96512,0.88158,0.95643,0.82424,0.5416,0.51255,2.05536,0.0016436,0.0016436,0.0016436
20,101.69,0.68834,0.51409,1.87072,0.90017,0.92105,0.96118,0.80483,0.53039,0.53191,1.95353,0.0016238,0.0016238,0.0016238
21,106.085,0.72734,0.51704,1.86072,0.91283,0.94737,0.96449,0.83381,0.49713,0.4946,1.95992,0.001604,0.001604,0.001604
