epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.342,0.94711,1.76238,1.86734,0.98199,1,0.995,0.8955,0.48799,0.73743,1.42851,0.000662675,0.000662675,0.000662675
2,49.1528,0.76433,0.87476,1.67757,0.95902,1,0.995,0.79537,0.61669,0.9244,1.52005,0.00131618,0.00131618,0.00131618
3,70.9964,0.79184,0.71598,1.72581,0.95608,1,0.995,0.79593,0.57965,0.62574,1.63651,0.00195649,0.00195649,0.00195649
4,92.4343,0.73686,0.61552,1.68471,0.96092,1,0.995,0.94616,0.3473,0.5265,1.40725,0.0019406,0.0019406,0.0019406
5,115.636,0.70906,0.56169,1.64569,0.9813,1,0.995,0.8967,0.44227,0.37697,1.24797,0.0019208,0.0019208,0.0019208
6,138.517,0.67327,0.53335,1.64063,0.9817,1,0.995,0.898,0.63651,0.47589,2.08705,0.001901,0.001901,0.001901
7,161.136,0.66498,0.51709,1.61552,0.98139,1,0.995,0.9467,0.39644,0.29241,1.37481,0.0018812,0.0018812,0.0018812
8,182.3,0.61935,0.48132,1.58538,0.9852,1,0.995,0.704,0.72445,0.50143,1.92724,0.0018614,0.0018614,0.0018614
9,203.548,0.61498,0.48373,1.59804,0.97481,1,0.995,0.92344,0.42142,0.32112,1.29561,0.0018416,0.0018416,0.0018416
10,224.911,0.61741,0.48065,1.59602,0.98248,1,0.995,0.94925,0.37109,0.25465,1.44284,0.0018218,0.0018218,0.0018218
11,246.574,0.59286,0.44994,1.5771,0.98195,1,0.995,0.995,0.38181,0.27049,1.45046,0.001802,0.001802,0.001802
12,268.062,0.57349,0.4494,1.53402,0.9822,1,0.995,0.995,0.3234,0.28791,1.34033,0.0017822,0.0017822,0.0017822
13,289.453,0.55989,0.4357,1.5527,0.98259,1,0.995,0.995,0.27214,0.24829,1.46593,0.0017624,0.0017624,0.0017624
14,310.883,0.55258,0.4263,1.54381,0.98126,1,0.995,0.94819,0.45279,0.23114,1.61107,0.0017426,0.0017426,0.0017426
15,331.856,0.55415,0.42495,1.54558,0.98225,1,0.995,0.94659,0.36218,0.2054,1.75456,0.0017228,0.0017228,0.0017228
16,352.689,0.54017,0.41142,1.51826,0.98287,1,0.995,0.995,0.27573,0.20619,1.35712,0.001703,0.001703,0.001703
17,373.426,0.54818,0.41323,1.54027,0.98233,1,0.995,0.995,0.3586,0.23108,1.56709,0.0016832,0.0016832,0.0016832
18,394.66,0.52725,0.4034,1.51104,0.98219,1,0.995,0.9467,0.38798,0.28199,2.08792,0.0016634,0.0016634,0.0016634
19,415.362,0.53243,0.40634,1.51616,0.97724,1,0.995,0.995,0.34289,0.21102,1.56229,0.0016436,0.0016436,0.0016436
20,436.174,0.5135,0.39031,1.51202,0.97845,1,0.995,0.92389,0.35031,0.28318,1.42838,0.0016238,0.0016238,0.0016238
21,456.983,0.52215,0.39504,1.51392,0.98259,1,0.995,0.94755,0.32417,0.23123,1.12528,0.001604,0.001604,0.001604
22,477.774,0.50451,0.38289,1.5052,0.98252,1,0.995,0.8955,0.39394,0.24233,1.40283,0.0015842,0.0015842,0.0015842
23,498.753,0.50973,0.39123,1.50763,0.9822,1,0.995,0.7205,0.9052,0.49361,1.75107,0.0015644,0.0015644,0.0015644
24,519.506,0.49521,0.37331,1.4763,0.98289,1,0.995,0.85188,0.43398,0.32512,2.44767,0.0015446,0.0015446,0.0015446
25,540.254,0.50679,0.38351,1.51523,0.9825,1,0.995,0.995,0.24417,0.19504,1.23504,0.0015248,0.0015248,0.0015248
26,561.014,0.48567,0.36279,1.49173,0.9829,1,0.995,0.8955,0.42768,0.2294,1.61178,0.001505,0.001505,0.001505
27,582.017,0.47778,0.36105,1.46344,0.98311,1,0.995,0.95137,0.40371,0.25753,1.74678,0.0014852,0.0014852,0.0014852
28,602.937,0.47263,0.3594,1.4777,0.98243,1,0.995,0.94819,0.5391,0.36093,1.74498,0.0014654,0.0014654,0.0014654
29,21.9969,0.47174,0.35653,1.46901,0.9819,1,0.995,0.92535,0.33514,0.18624,1.15359,0.0014456,0.0014456,0.0014456
30,45.3996,0.46848,0.35462,1.4755,0.98191,1,0.995,0.94864,0.35528,0.31689,1.36384,0.0014258,0.0014258,0.0014258
31,70.6545,0.47345,0.35927,1.48547,0.98173,1,0.995,0.995,0.28522,0.25401,1.76904,0.001406,0.001406,0.001406
32,95.9636,0.4657,0.34852,1.46767,0.98239,1,0.995,0.995,0.23473,0.1635,1.22354,0.0013862,0.0013862,0.0013862
33,120.852,0.46899,0.35057,1.45806,0.98238,1,0.995,0.9228,0.28759,0.19388,1.55882,0.0013664,0.0013664,0.0013664
34,145.343,0.45901,0.34322,1.46689,0.98266,1,0.995,0.995,0.26823,0.17837,1.27815,0.0013466,0.0013466,0.0013466
35,170.229,0.45762,0.34463,1.45208,1,1,0.995,0.995,0.3662,0.22839,1.54543,0.0013268,0.0013268,0.0013268
36,192.299,0.44474,0.33374,1.44416,0.98147,1,0.995,0.995,0.22324,0.15143,1.40656,0.001307,0.001307,0.001307
37,214.519,0.44388,0.33952,1.46087,0.98284,1,0.995,0.995,0.24264,0.14945,1.21986,0.0012872,0.0012872,0.0012872
38,236.831,0.44987,0.34251,1.46486,0.98304,1,0.995,0.94925,0.36513,0.18617,2.09243,0.0012674,0.0012674,0.0012674
39,258.541,0.43687,0.33015,1.44886,0.9829,1,0.995,0.995,0.31141,0.20614,1.9487,0.0012476,0.0012476,0.0012476
40,281.815,0.43221,0.33254,1.42961,0.98272,1,0.995,0.995,0.32143,0.19271,1.37797,0.0012278,0.0012278,0.0012278
41,303.232,0.42749,0.32944,1.44843,0.98258,1,0.995,0.9245,0.30225,0.17889,1.35877,0.001208,0.001208,0.001208
42,324.272,0.43081,0.32415,1.43609,0.9829,1,0.995,0.995,0.29025,0.18365,1.74624,0.0011882,0.0011882,0.0011882
43,345.333,0.42972,0.32232,1.44561,1,1,0.995,0.995,0.27776,0.16873,1.31564,0.0011684,0.0011684,0.0011684
44,366.368,0.42302,0.31602,1.42512,0.98277,1,0.995,0.995,0.2577,0.15519,1.23855,0.0011486,0.0011486,0.0011486
45,387.415,0.43025,0.32219,1.43834,0.983,1,0.995,0.995,0.33315,0.18526,2.01037,0.0011288,0.0011288,0.0011288
46,408.415,0.41571,0.31447,1.42592,0.98217,1,0.995,0.995,0.27591,0.18849,1.31315,0.001109,0.001109,0.001109
47,429.343,0.42264,0.31763,1.42939,0.9829,1,0.995,0.94783,0.37878,0.22806,2.24172,0.0010892,0.0010892,0.0010892
48,450.415,0.41213,0.3093,1.42338,0.98249,1,0.995,0.995,0.28679,0.18861,1.1884,0.0010694,0.0010694,0.0010694
49,472.538,0.41675,0.31156,1.43361,0.9828,1,0.995,0.995,0.30311,0.19915,1.47634,0.0010496,0.0010496,0.0010496
50,496.058,0.40875,0.30429,1.436,0.98273,1,0.995,0.995,0.33359,0.18614,1.91969,0.0010298,0.0010298,0.0010298
51,517.079,0.40983,0.30575,1.41644,0.98256,1,0.995,0.995,0.2983,0.19185,1.28816,0.00101,0.00101,0.00101
52,538.016,0.40355,0.29654,1.39713,0.98331,1,0.995,0.995,0.37723,0.20309,2.76517,0.0009902,0.0009902,0.0009902
53,559.639,0.40973,0.30618,1.43201,0.98264,1,0.995,0.995,0.25502,0.16649,1.07674,0.0009704,0.0009704,0.0009704
54,582.544,0.39451,0.29467,1.42051,0.98299,1,0.995,0.995,0.33212,0.18811,1.57528,0.0009506,0.0009506,0.0009506
55,603.389,0.38624,0.29281,1.394,0.98323,1,0.995,0.995,0.32871,0.24351,1.65826,0.0009308,0.0009308,0.0009308
56,624.305,0.38355,0.2884,1.4036,0.98275,1,0.995,0.995,0.27112,0.13873,1.44591,0.000911,0.000911,0.000911
57,645.215,0.40279,0.30264,1.41926,0.98283,1,0.995,0.995,0.28953,0.18061,1.81058,0.0008912,0.0008912,0.0008912
