epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1284.69,0.47722,0.33719,1.51918,0.61805,0.91555,0.61805,0.56475,0.30454,71.057,1.36194,0.0011882,0.0011882,0.0011882
43,1315.11,0.47322,0.33296,1.53106,0.61885,0.92289,0.62379,0.56396,0.32329,68.8478,1.37063,0.0011684,0.0011684,0.0011684
44,1345.42,0.46418,0.32825,1.51652,0.63485,0.91316,0.61581,0.55578,0.32106,67.0467,1.41339,0.0011486,0.0011486,0.0011486
45,1375.8,0.47082,0.33439,1.51989,0.63265,0.90789,0.62541,0.56651,0.30614,67.5014,1.38444,0.0011288,0.0011288,0.0011288
46,1406,0.46864,0.32935,1.52362,0.64787,0.89571,0.63535,0.57744,0.30335,66.8751,1.36459,0.001109,0.001109,0.001109
47,1436.28,0.46095,0.32882,1.50561,0.64072,0.90577,0.63184,0.5764,0.3253,68.5879,1.39334,0.0010892,0.0010892,0.0010892
48,1466.47,0.4628,0.33093,1.52294,0.63812,0.89211,0.62005,0.56137,0.34749,67.9738,1.48992,0.0010694,0.0010694,0.0010694
49,1496.69,0.44882,0.31815,1.50558,0.65187,0.89681,0.63741,0.58227,0.32241,68.1054,1.44375,0.0010496,0.0010496,0.0010496
50,1526.92,0.4576,0.32246,1.5208,0.63304,0.9,0.61901,0.55893,0.34112,72.2835,1.44403,0.0010298,0.0010298,0.0010298
51,1557.09,0.44983,0.32362,1.5053,0.6379,0.89474,0.62754,0.5606,0.33557,70.0494,1.40274,0.00101,0.00101,0.00101
52,1587.35,0.44598,0.31734,1.4959,0.64785,0.90263,0.62028,0.57503,0.32257,68.2707,1.38589,0.0009902,0.0009902,0.0009902
53,1617.6,0.44458,0.31668,1.51102,0.64491,0.91289,0.625,0.5668,0.33522,68.4718,1.40805,0.0009704,0.0009704,0.0009704
54,1647.91,0.43937,0.30987,1.47864,0.64522,0.89211,0.62352,0.57595,0.31878,70.3391,1.41313,0.0009506,0.0009506,0.0009506
55,1678.28,0.43983,0.31358,1.50242,0.65535,0.90263,0.63405,0.58492,0.2919,70.3881,1.33344,0.0009308,0.0009308,0.0009308
56,1708.44,0.45325,0.31897,1.50244,0.64401,0.9,0.62774,0.58464,0.28778,69.6223,1.37776,0.000911,0.000911,0.000911
57,1738.59,0.44486,0.31199,1.50476,0.65182,0.87368,0.62031,0.57196,0.30768,69.818,1.39687,0.0008912,0.0008912,0.0008912
58,1768.92,0.43476,0.30868,1.49273,0.6559,0.88158,0.62611,0.57403,0.29519,72.648,1.34243,0.0008714,0.0008714,0.0008714
59,1799.22,0.43182,0.30821,1.48685,0.65268,0.88421,0.62656,0.57649,0.28806,74.0507,1.3047,0.0008516,0.0008516,0.0008516
60,1829.45,0.43045,0.30742,1.47422,0.63149,0.91842,0.63395,0.58267,0.28295,74.3919,1.33633,0.0008318,0.0008318,0.0008318
61,1859.82,0.42914,0.30433,1.47817,0.65278,0.89737,0.6127,0.56613,0.29852,71.7779,1.34078,0.000812,0.000812,0.000812
62,1889.98,0.42287,0.30127,1.47153,0.64468,0.89474,0.61977,0.57157,0.29617,72.7345,1.38805,0.0007922,0.0007922,0.0007922
63,1920.34,0.41922,0.30002,1.47985,0.63614,0.93855,0.63117,0.58412,0.29012,73.1572,1.31456,0.0007724,0.0007724,0.0007724
64,1950.78,0.4221,0.29873,1.46118,0.6489,0.88947,0.63122,0.56613,0.32282,72.5942,1.41875,0.0007526,0.0007526,0.0007526
65,1981.27,0.41527,0.30022,1.45853,0.65274,0.89211,0.63519,0.58011,0.29291,71.7294,1.39811,0.0007328,0.0007328,0.0007328
66,2011.54,0.42304,0.30011,1.48077,0.63898,0.89474,0.61929,0.57587,0.29997,73.3551,1.30941,0.000713,0.000713,0.000713
67,2041.89,0.41417,0.2929,1.46855,0.65162,0.89583,0.62788,0.57226,0.3015,74.0026,1.36661,0.0006932,0.0006932,0.0006932
68,2072.36,0.41449,0.29407,1.47131,0.64733,0.91842,0.63145,0.57425,0.29789,74.37,1.32938,0.0006734,0.0006734,0.0006734
69,2102.82,0.41412,0.2925,1.46446,0.64063,0.89211,0.62254,0.57399,0.28861,74.4686,1.46252,0.0006536,0.0006536,0.0006536
70,2133.21,0.41078,0.293,1.46372,0.65622,0.89474,0.62595,0.57426,0.29081,72.2932,1.3492,0.0006338,0.0006338,0.0006338
71,2163.46,0.40797,0.28969,1.45079,0.64214,0.89211,0.6285,0.57336,0.29044,73.0094,1.35787,0.000614,0.000614,0.000614
72,2193.62,0.41192,0.29238,1.4724,0.64801,0.89474,0.62533,0.5804,0.29683,73.5078,1.35878,0.0005942,0.0005942,0.0005942
73,2222.92,0.40234,0.28546,1.45124,0.6455,0.88684,0.62757,0.57385,0.30372,73.3423,1.32874,0.0005744,0.0005744,0.0005744
74,2252.3,0.39866,0.28228,1.44563,0.64082,0.89474,0.62711,0.58217,0.30814,74.9274,1.3836,0.0005546,0.0005546,0.0005546
75,2281.67,0.40346,0.28604,1.45124,0.65498,0.90263,0.62245,0.57201,0.3066,74.6706,1.36564,0.0005348,0.0005348,0.0005348
76,2310.95,0.39842,0.28538,1.44998,0.64974,0.89824,0.62417,0.57671,0.28669,75.4039,1.27002,0.000515,0.000515,0.000515
77,2340.26,0.39375,0.28156,1.43635,0.64224,0.88684,0.61984,0.56891,0.28853,75.8523,1.28879,0.0004952,0.0004952,0.0004952
