epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1104.46,0.45984,0.6913,0.32935,0.92946,0.9584,0.91595,0.95066,0.90776,0.9584,0.91595,0.95238,0.90341,0.36025,0.57538,0.39634,0.88731,0.0014258,0.0014258,0.0014258
31,1140.62,0.46698,0.69432,0.33681,0.93455,0.94456,0.88604,0.93639,0.88275,0.94456,0.88604,0.93652,0.88472,0.39709,0.61838,0.41026,0.91452,0.001406,0.001406,0.001406
32,1176.83,0.4652,0.67813,0.33079,0.92996,0.95464,0.86947,0.94041,0.88006,0.95464,0.86947,0.94182,0.87651,0.4051,0.68327,0.43749,0.92935,0.0013862,0.0013862,0.0013862
33,1213.11,0.46038,0.69567,0.32515,0.92997,0.97044,0.81909,0.92833,0.86508,0.97044,0.81909,0.92616,0.87282,0.42584,0.68638,0.46844,0.97886,0.0013664,0.0013664,0.0013664
34,1249.4,0.45534,0.67707,0.3204,0.92229,0.96041,0.89174,0.94609,0.90411,0.96041,0.89174,0.94533,0.90029,0.33834,0.63244,0.37197,0.87028,0.0013466,0.0013466,0.0013466
35,1285.56,0.45154,0.66753,0.31552,0.92655,0.99031,0.84758,0.93545,0.89488,0.99031,0.84758,0.9353,0.89329,0.34738,0.60148,0.39005,0.87482,0.0013268,0.0013268,0.0013268
36,1321.7,0.44628,0.66025,0.31469,0.92406,0.9716,0.89601,0.95562,0.90376,0.9716,0.89601,0.94679,0.90328,0.35167,0.68485,0.35363,0.89022,0.001307,0.001307,0.001307
37,1357.82,0.44216,0.64871,0.31019,0.92275,0.96639,0.90101,0.95228,0.90772,0.96706,0.90313,0.95162,0.90648,0.35918,0.55446,0.38375,0.90888,0.0012872,0.0012872,0.0012872
38,1394.02,0.44367,0.65298,0.31344,0.92389,0.96119,0.88034,0.94506,0.89428,0.96119,0.88034,0.94402,0.8929,0.35838,0.60328,0.36886,0.89558,0.0012674,0.0012674,0.0012674
39,1430.2,0.44714,0.65675,0.31312,0.92183,0.98634,0.87037,0.93282,0.89581,0.98634,0.87037,0.93353,0.89359,0.33769,0.52591,0.3951,0.88544,0.0012476,0.0012476,0.0012476
40,1466.51,0.43995,0.6417,0.30971,0.92057,0.97982,0.88746,0.94734,0.90146,0.97982,0.88746,0.94734,0.89857,0.36254,0.60301,0.38111,0.90042,0.0012278,0.0012278,0.0012278
41,1502.72,0.44351,0.63833,0.31429,0.92273,0.97691,0.89744,0.94915,0.89984,0.97691,0.89744,0.9509,0.90392,0.37282,0.65245,0.37037,0.90657,0.001208,0.001208,0.001208
42,1539,0.43239,0.61787,0.30563,0.91685,0.98827,0.89459,0.94442,0.9044,0.98827,0.89459,0.9461,0.90206,0.35639,0.61182,0.35205,0.8938,0.0011882,0.0011882,0.0011882
43,1575.2,0.42997,0.62607,0.30158,0.9189,0.98789,0.89174,0.93801,0.8997,0.98789,0.89174,0.93968,0.90101,0.34663,0.6179,0.37846,0.8848,0.0011684,0.0011684,0.0011684
44,1611.39,0.42909,0.61846,0.29317,0.91735,0.96912,0.89416,0.94573,0.90811,0.96912,0.89416,0.94582,0.90575,0.33467,0.55736,0.36584,0.88314,0.0011486,0.0011486,0.0011486
45,1647.74,0.42252,0.62068,0.29705,0.91228,0.98487,0.90028,0.95141,0.90705,0.98487,0.90028,0.95635,0.91093,0.33576,0.58735,0.31468,0.87128,0.0011288,0.0011288,0.0011288
46,1684.06,0.41581,0.60057,0.28754,0.91411,0.95764,0.91168,0.95289,0.90826,0.95764,0.91168,0.95501,0.90689,0.3397,0.5856,0.33217,0.87833,0.001109,0.001109,0.001109
47,1720.44,0.4175,0.60748,0.29262,0.91045,0.98858,0.86317,0.92841,0.89662,0.98858,0.86317,0.92959,0.89374,0.34048,0.59967,0.41043,0.89013,0.0010892,0.0010892,0.0010892
48,1756.63,0.40981,0.60208,0.28751,0.90857,0.96486,0.87179,0.95118,0.90707,0.96486,0.87179,0.94913,0.9027,0.32657,0.54842,0.34111,0.87614,0.0010694,0.0010694,0.0010694
49,1792.88,0.40574,0.58701,0.28316,0.906,0.96309,0.88034,0.93691,0.8959,0.96309,0.88034,0.93691,0.89512,0.3508,0.58982,0.39069,0.89432,0.0010496,0.0010496,0.0010496
50,1829.12,0.41098,0.59795,0.28195,0.91084,0.97249,0.89459,0.94251,0.90494,0.97326,0.89459,0.94117,0.90244,0.3457,0.58248,0.3443,0.89822,0.0010298,0.0010298,0.0010298
51,1865.44,0.40115,0.57719,0.27516,0.90855,0.971,0.90636,0.94764,0.91003,0.971,0.90636,0.94868,0.90834,0.32173,0.55533,0.36466,0.85213,0.00101,0.00101,0.00101
52,1901.75,0.40308,0.57944,0.27925,0.90876,0.99349,0.86949,0.94489,0.90268,0.99349,0.86949,0.94473,0.89912,0.32985,0.58262,0.34692,0.87701,0.0009902,0.0009902,0.0009902
53,1938.05,0.39484,0.5637,0.27238,0.90418,0.9648,0.89805,0.94577,0.9056,0.9648,0.89805,0.94725,0.90689,0.34301,0.55047,0.34392,0.8836,0.0009704,0.0009704,0.0009704
54,1974.24,0.40056,0.59039,0.27789,0.9098,0.93581,0.92877,0.95091,0.9111,0.93581,0.92877,0.95296,0.90886,0.30854,0.54246,0.31503,0.85715,0.0009506,0.0009506,0.0009506
55,2010.5,0.39744,0.57469,0.27357,0.90571,0.97093,0.91595,0.95999,0.92266,0.97093,0.91595,0.95989,0.91612,0.3116,0.52408,0.29996,0.85532,0.0009308,0.0009308,0.0009308
56,2046.65,0.38887,0.5629,0.26899,0.90108,0.97639,0.88365,0.94022,0.90762,0.97639,0.88365,0.94083,0.90931,0.32866,0.54403,0.33936,0.87334,0.000911,0.000911,0.000911
