epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3528,0.97496,1.41653,2.07124,0.58429,0.88421,0.58974,0.43338,0.56801,21.7102,1.62698,0.000665394,0.000665394,0.000665394
2,101.251,0.84755,0.7596,1.90172,0.59293,0.83177,0.58872,0.47676,0.44921,23.4097,1.60729,0.00131887,0.00131887,0.00131887
3,149.81,0.80373,0.63717,1.86024,0.62936,0.94284,0.76176,0.64904,0.41782,19.4124,1.46537,0.00195915,0.00195915,0.00195915
4,198.203,0.793,0.59732,1.87522,0.63289,0.91579,0.63719,0.50674,0.48391,18.4429,1.53239,0.0019406,0.0019406,0.0019406
5,246.459,0.75256,0.56256,1.81627,0.62264,0.91184,0.63292,0.53871,0.45556,21.2602,1.50382,0.0019208,0.0019208,0.0019208
6,295.878,0.72047,0.54656,1.81542,0.6265,0.91316,0.73043,0.64997,0.36863,17.1774,1.5363,0.001901,0.001901,0.001901
7,343.017,0.69712,0.50892,1.78668,0.61308,0.91318,0.6892,0.62267,0.36763,23.7433,1.37966,0.0018812,0.0018812,0.0018812
8,390.107,0.68462,0.50348,1.76157,0.63867,0.91053,0.6562,0.58427,0.3441,21.1847,1.42199,0.0018614,0.0018614,0.0018614
9,438.073,0.65635,0.4804,1.7244,0.6144,0.93421,0.62923,0.55404,0.35178,21.3049,1.37942,0.0018416,0.0018416,0.0018416
10,487.285,0.65259,0.48267,1.73231,0.62914,0.94737,0.65374,0.57914,0.35018,22.7797,1.45135,0.0018218,0.0018218,0.0018218
11,535.383,0.65124,0.47382,1.71186,0.61225,0.9,0.63626,0.53935,0.43105,20.7013,1.49932,0.001802,0.001802,0.001802
12,583.748,0.64194,0.47006,1.71621,0.6225,0.88421,0.63295,0.5623,0.34028,23.5279,1.36267,0.0017822,0.0017822,0.0017822
13,630.628,0.63573,0.45074,1.70955,0.62285,0.8779,0.60524,0.53797,0.34629,21.3825,1.3747,0.0017624,0.0017624,0.0017624
14,677.329,0.61878,0.44348,1.68977,0.62708,0.91842,0.63468,0.55521,0.34609,23.164,1.34272,0.0017426,0.0017426,0.0017426
15,724.123,0.59995,0.43226,1.67667,0.62544,0.92632,0.63614,0.56811,0.32022,22.2081,1.3705,0.0017228,0.0017228,0.0017228
16,771.39,0.59661,0.4256,1.67719,0.63731,0.90789,0.62915,0.5403,0.362,24.022,1.41055,0.001703,0.001703,0.001703
17,819.203,0.58775,0.42818,1.64745,0.63832,0.91053,0.65582,0.59111,0.31364,23.5293,1.32209,0.0016832,0.0016832,0.0016832
18,869.703,0.58324,0.42132,1.66132,0.63309,0.89474,0.62697,0.54449,0.34095,24.4736,1.37562,0.0016634,0.0016634,0.0016634
19,916.602,0.57465,0.41117,1.65245,0.64064,0.86316,0.61546,0.54183,0.31568,23.8727,1.32871,0.0016436,0.0016436,0.0016436
20,963.375,0.5804,0.41344,1.64985,0.641,0.91579,0.63773,0.56505,0.30487,24.3243,1.30182,0.0016238,0.0016238,0.0016238
21,1013.99,0.55812,0.40069,1.63726,0.63658,0.87632,0.61864,0.56022,0.31859,24.3631,1.31551,0.001604,0.001604,0.001604
22,1061.54,0.5646,0.401,1.62348,0.648,0.91316,0.68083,0.62395,0.29298,24.0153,1.2994,0.0015842,0.0015842,0.0015842
23,1108.46,0.55705,0.39671,1.63295,0.63147,0.90182,0.62301,0.56028,0.28768,25.2608,1.28491,0.0015644,0.0015644,0.0015644
24,1155.48,0.55566,0.39905,1.62475,0.63574,0.9,0.62839,0.56745,0.2928,26.0628,1.34078,0.0015446,0.0015446,0.0015446
