epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,803.542,0.57034,0.88988,0.36131,0.99762,0.93847,0.89474,0.93699,0.83588,0.93319,0.88225,0.92905,0.82841,0.55383,0.77739,0.44127,1.16244,0.0014258,0.0014258,0.0014258
31,829.969,0.55339,0.85203,0.35543,0.99743,0.90997,0.92368,0.94649,0.82465,0.90931,0.92105,0.94331,0.81183,0.56353,0.81406,0.44297,1.15082,0.001406,0.001406,0.001406
32,856.281,0.56052,0.876,0.3552,0.99478,0.89671,0.87632,0.94603,0.82703,0.89671,0.87632,0.94603,0.81988,0.54465,0.79794,0.50245,1.14371,0.0013862,0.0013862,0.0013862
33,882.703,0.55593,0.84861,0.35396,0.99462,0.88054,0.89228,0.90109,0.79479,0.88054,0.89228,0.90109,0.7908,0.60654,0.72718,0.55323,1.18697,0.0013664,0.0013664,0.0013664
34,909.1,0.55724,0.8624,0.35267,0.9975,0.9166,0.85789,0.9309,0.82868,0.9166,0.85789,0.9309,0.82665,0.54207,0.75892,0.4574,1.13269,0.0013466,0.0013466,0.0013466
35,935.584,0.54792,0.85671,0.34622,0.99219,0.93943,0.87632,0.92245,0.81547,0.94225,0.87895,0.92521,0.80842,0.58228,0.86185,0.43971,1.20666,0.0013268,0.0013268,0.0013268
36,961.968,0.54778,0.85532,0.34957,0.99042,0.9133,0.86053,0.91045,0.80097,0.9094,0.84523,0.89976,0.78877,0.61719,0.81121,0.51247,1.2682,0.001307,0.001307,0.001307
37,988.609,0.54346,0.82747,0.33727,0.98357,0.92478,0.87632,0.94899,0.83948,0.92524,0.87936,0.95454,0.83339,0.55476,0.83076,0.43227,1.17267,0.0012872,0.0012872,0.0012872
38,1015.09,0.53782,0.83278,0.33577,0.98467,0.95928,0.86788,0.94419,0.82761,0.95637,0.86525,0.93775,0.82378,0.59237,0.72953,0.42158,1.20392,0.0012674,0.0012674,0.0012674
39,1041.64,0.54526,0.82956,0.34448,0.98759,0.92233,0.87368,0.92636,0.80472,0.91121,0.86316,0.92336,0.79445,0.62405,0.80276,0.45715,1.20457,0.0012476,0.0012476,0.0012476
40,1068.08,0.53419,0.8281,0.33583,0.98348,0.92252,0.89211,0.94777,0.83463,0.92252,0.89211,0.94777,0.83544,0.54401,0.83932,0.42878,1.12276,0.0012278,0.0012278,0.0012278
41,1094.52,0.51784,0.81095,0.33115,0.97673,0.91774,0.88158,0.89534,0.78438,0.91199,0.87258,0.88869,0.77727,0.59124,0.84545,0.47793,1.18532,0.001208,0.001208,0.001208
42,1120.93,0.51923,0.80317,0.33094,0.97889,0.93449,0.88947,0.93963,0.81138,0.92343,0.87895,0.92834,0.7924,0.60096,1.01882,0.42197,1.19722,0.0011882,0.0011882,0.0011882
43,1147.38,0.52493,0.79069,0.33083,0.9768,0.93116,0.85426,0.91874,0.81044,0.94553,0.83947,0.91333,0.80198,0.59262,0.78457,0.46613,1.18014,0.0011684,0.0011684,0.0011684
